"","year","month","date","count","demonth","wkday","deseason"
"274",2013,10,2013-10-01,616,8.67741935483866,"Tues",-15.9928359765451
"275",2013,10,2013-10-02,647,39.6774193548387,"Wed",20.5278912447339
"276",2013,10,2013-10-03,589,-18.3225806451613,"Thurs",-45.1045173059684
"277",2013,10,2013-10-04,658,50.6774193548387,"Fri",-18.7544079783972
"278",2013,10,2013-10-05,497,-110.322580645161,"Sat",-69.4164288663944
"279",2013,10,2013-10-06,404,-203.322580645161,"Sun",-100.345647377797
"280",2013,10,2013-10-07,618,10.6774193548387,"Mon",7.3044557618195
"281",2013,10,2013-10-08,574,-33.3225806451613,"Tues",-57.9928359765451
"282",2013,10,2013-10-09,529,-78.3225806451613,"Wed",-97.4721087552661
"283",2013,10,2013-10-10,559,-48.3225806451613,"Thurs",-75.1045173059684
"284",2013,10,2013-10-11,621,13.6774193548387,"Fri",-55.7544079783972
"285",2013,10,2013-10-12,556,-51.3225806451613,"Sat",-10.4164288663944
"286",2013,10,2013-10-13,501,-106.322580645161,"Sun",-3.34564737779709
"287",2013,10,2013-10-14,440,-167.322580645161,"Mon",-170.695544238181
"288",2013,10,2013-10-15,615,7.67741935483866,"Tues",-16.9928359765451
"289",2013,10,2013-10-16,548,-59.3225806451613,"Wed",-78.4721087552661
"290",2013,10,2013-10-17,574,-33.3225806451613,"Thurs",-60.1045173059684
"291",2013,10,2013-10-18,680,72.6774193548387,"Fri",3.24559202160276
"292",2013,10,2013-10-19,471,-136.322580645161,"Sat",-95.4164288663944
"293",2013,10,2013-10-20,490,-117.322580645161,"Sun",-14.3456473777971
"294",2013,10,2013-10-21,616,8.67741935483866,"Mon",5.3044557618195
"295",2013,10,2013-10-22,540,-67.3225806451613,"Tues",-91.9928359765451
"296",2013,10,2013-10-23,558,-49.3225806451613,"Wed",-68.4721087552661
"297",2013,10,2013-10-24,632,24.6774193548387,"Thurs",-2.10451730596836
"298",2013,10,2013-10-25,647,39.6774193548387,"Fri",-29.7544079783972
"299",2013,10,2013-10-26,626,18.6774193548387,"Sat",59.5835711336056
"300",2013,10,2013-10-27,512,-95.3225806451613,"Sun",7.65435262220291
"301",2013,10,2013-10-28,620,12.6774193548387,"Mon",9.3044557618195
"302",2013,10,2013-10-29,600,-7.32258064516134,"Tues",-31.9928359765451
